created_at,id,restaurant,session_id,user_id
2026-08-20T04:55:56.600538+00:00,fac222dd-b3e8-445c-a672-49b2d6d82f78,홍가복,8dd470a1-6da0-497a-bb84-8f9491cdc884,d90053f5-28ef-4bf6-91fe-4befaf0cabf6
2026-08-20T04:56:53.845506+00:00,5abc33f7-55d7-4af6-b87c-36d882936e9a,홍가복,8dd470a1-6da0-497a-bb84-8f9491cdc884,a7fedfe0-fff7-40d9-abe4-a0e7ca623c58
2026-08-20T04:57:02.206283+00:00,9e49a755-171b-455b-9899-ce9fab600330,홍가복,8dd470a1-6da0-497a-bb84-8f9491cdc884,3bb9e280-be1b-45c8-a42c-19354c0a9a58
2026-08-20T04:58:59.031686+00:00,485da96b-c337-4266-8b43-84ec84dd2d14,홍가복,8dd470a1-6da0-497a-bb84-8f9491cdc884,5bbed151-0cbd-40fb-be8f-d75dd3382314
2026-08-20T04:59:24.527272+00:00,ae11688b-2576-4424-a248-0014d3a3c9f8,쇼라쪼마라탕,8dd470a1-6da0-497a-bb84-8f9491cdc884,dc64810f-6951-4c64-981e-5753eaf71f6c
2026-08-20T05:02:31.38005+00:00,88c79972-f164-4cfc-b934-e70ab0bc5676,홍가복,8dd470a1-6da0-497a-bb84-8f9491cdc884,cad68317-703e-4ccd-89a2-f91bea14f2bc
2026-08-20T05:04:00.586207+00:00,b170e0ab-11c6-4f27-a72c-4c3bed8130c3,가마솥순대국밥 대학로점,233316b3-0c21-4f3d-9513-79d8bad50d8e,fc518e9e-a90c-4870-8303-1efd602d5036
2026-08-20T05:22:36.823252+00:00,df14c2cc-6cae-49f7-8859-92061bc1172a,쇼라쪼마라탕,8dd470a1-6da0-497a-bb84-8f9491cdc884,ae8a79e7-3f8a-4921-a9c6-8ef577ee6a4f
2026-08-20T05:48:46.43199+00:00,f74eca9c-7c55-462c-8174-a01765534e39,더베이크 범계역점,c1222ca5-eaaf-4e58-91f4-91dbb371365a,c6da0ea9-7176-4d64-bbf5-61bba27fb3b2
2026-08-20T06:10:10.685264+00:00,8baf3d2a-3a74-4d51-a89c-ebca38b112f2,일월분식,fe2a3663-3d16-458d-ad34-982818e23e3f,865ad171-4c03-4d86-ab66-e0ccf764f6fe
