group_id,id,is_favorite,joined_at,user_id
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,09af4fb3-b75d-43cb-b3dd-d0286bb23411,False,2026-08-19T04:27:34.109+00:00,c6da0ea9-7176-4d64-bbf5-61bba27fb3b2
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,d96a6457-f758-4a6f-9d92-71eb4b836fa1,False,2026-08-19T04:30:00.785+00:00,983e3ca7-7e5c-4930-ac4e-8f854b3f9686
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,5573e5b8-4309-426c-938f-7c0d82a58feb,False,2026-08-19T04:32:55.508+00:00,fc518e9e-a90c-4870-8303-1efd602d5036
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,3ec8a53d-9fd8-4aa6-99d2-a9bf18632940,False,2026-08-19T04:39:13.609+00:00,1cb0267b-0923-46cf-bcbe-871d4e9f9917
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,ff4002ca-debd-4699-a357-dda29c51b2a3,False,2026-08-19T04:43:36.022+00:00,0d282669-dea8-4909-aae0-0b32a1f9123b
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,19dcaf73-62ec-4c9f-b586-04d1eaf69f1a,False,2026-08-19T04:43:37.51+00:00,928b9c28-c94e-4e0c-b86b-059a8e3b1591
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,f44d98d8-56b2-49c1-b17e-412f0c007626,False,2026-08-19T04:44:21.348+00:00,4b46ac3f-6e43-4608-b891-3eee5e1aaae1
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,cefb0c38-d6d1-40a5-aab9-67c70976e3eb,False,2026-08-19T04:44:58.707+00:00,38f3ba03-404b-421f-a4e7-b1f12523c0d1
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,6c8a99dd-80f7-4b7a-9141-fe99d16aa86a,False,2026-08-19T04:48:01.752+00:00,dc64810f-6951-4c64-981e-5753eaf71f6c
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,a16f9dda-5e8d-4dd8-829f-4affa003d955,False,2026-08-19T04:52:36.886+00:00,9df6fca8-8061-4cd6-aeaf-23d04bdbb947
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,e7604daf-8882-401c-9a33-2eb200f50ff7,False,2026-08-19T05:03:07.972+00:00,80940005-8bb9-4a15-9105-681651b57b04
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,e1efda15-d307-483b-87c7-7c5655fda39b,False,2026-08-19T05:05:58.187+00:00,a7fedfe0-fff7-40d9-abe4-a0e7ca623c58
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,f5a64662-7b2b-4d02-a55b-034b7d233cd7,False,2026-08-19T05:10:58.151+00:00,50b7cd41-3d10-41fb-8e02-df38909dc3aa
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,8e9e4828-742d-4bf7-a6a6-f3c18c37e5dc,False,2026-08-19T05:18:15.048+00:00,fdf5320b-8276-418b-acc6-dcbd70c8fcb2
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,cb35d8a3-934c-4d2a-96f3-0cb053ce1582,False,2026-08-19T05:32:27.717+00:00,ffefd0db-4149-46ce-8d63-1d51c2ad3b9d
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,bae7150b-533d-4eac-9752-f9ee571a0ce3,False,2026-08-19T05:35:43.893+00:00,41cdf44e-49d9-4953-a242-16b6a1aa94e4
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,b5e8cda5-2a25-4597-bf22-c6a0c95e9f5f,False,2026-08-19T06:00:30.567+00:00,865ad171-4c03-4d86-ab66-e0ccf764f6fe
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,95ef3a94-2ed8-4e51-8ffc-d474f96ebd82,False,2026-08-19T06:04:49.046+00:00,206a1613-886a-44ae-a5e1-50e8528b6f8c
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,09b52600-5989-4300-98d5-2f92b917a61c,False,2026-08-19T06:08:38.211+00:00,10f4fc30-b881-4d48-96a2-497319d9d923
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,1d188b32-5268-4753-8e47-43c54ad1d500,False,2026-08-19T06:15:24.827+00:00,6f7c8879-5c95-480e-86bc-046bc8a2fb3e
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,d7ec2087-893e-4d24-85d1-e87e00a845e6,False,2026-08-19T06:16:23.765+00:00,74967674-13b7-498c-99e1-eab92fdb5973
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,6caf620c-bf26-4092-8525-caf9da699349,False,2026-08-19T06:46:56.074+00:00,b53d4603-1a5b-4ce2-808c-09c4c660b1aa
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,de3ab375-1374-4ab5-8495-5502d8032349,False,2026-08-19T06:49:44.142+00:00,505b7b5b-342e-4cb2-92c3-3e3e8ccf1d6f
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,9b72d773-ed92-4dc8-9182-a4b713574251,False,2026-08-19T06:54:36.08+00:00,174480eb-75cb-4652-b4b4-31663ef84212
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,ab7a2e00-2955-4b46-8231-ceb098127fbf,False,2026-08-19T07:09:57.908+00:00,a9befd57-840d-4e8b-8d76-59561e75940d
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,cb342f5a-5d4b-4119-b6ab-ff7771b37fc6,False,2026-08-19T07:51:19.579+00:00,ab7a40ba-7bfb-4e09-a9c5-9460d2d8fb3e
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,2b7b9e8d-edd2-471a-8b23-81c4a12d633b,False,2026-08-19T07:55:51.031+00:00,0b96510a-8c6c-4c36-bfef-c820fc92b637
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,b72a87d5-e8aa-4612-a970-48ffd1714de1,False,2026-08-19T10:04:15.995+00:00,7eea7dc0-2b2d-4e5c-a869-f303b838e052
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,8b198606-178e-4868-930e-e10d84f5bd7e,False,2026-08-19T11:56:09.526+00:00,30c7851c-8124-4d15-8f0a-49b59c46c3c5
24b4fd54-9eeb-45cb-9d94-9937b8791296,0ab8de0d-ca92-4a67-a5eb-1c33a2a5f67e,False,2026-08-20T04:54:42.778+00:00,c6da0ea9-7176-4d64-bbf5-61bba27fb3b2
0ab783c3-633d-4558-b28f-55e7754b893a,078a730b-8872-42f1-af4a-cdcd6bd29564,False,2026-08-20T04:55:00.46+00:00,d90053f5-28ef-4bf6-91fe-4befaf0cabf6
0ab783c3-633d-4558-b28f-55e7754b893a,aab121a7-96ff-4569-921a-c981d7f0e966,False,2026-08-20T04:55:10.082+00:00,3bb9e280-be1b-45c8-a42c-19354c0a9a58
